Date,Time,StationName,StationCode,Latitude,Longitude,GroupName,SampleId,SampleDepth,Air temperature,Air temperature Code,Air temperature Tier,Air temperature Units,Air temperature Problem,Air temperature Qualifier,Alkalinity,Alkalinity Code,Alkalinity Tier,Alkalinity Units,Alkalinity Problem,Alkalinity Qualifier,Ammonia-nitrogen,Ammonia-nitrogen Code,Ammonia-nitrogen Tier,Ammonia-nitrogen Units,Ammonia-nitrogen Problem,Ammonia-nitrogen Qualifier,Bacteria (E.Coli) Blank,Bacteria (E.Coli) Blank Code,Bacteria (E.Coli) Blank Tier,Bacteria (E.Coli) Blank Units,Bacteria (E.Coli) Blank Problem,Bacteria (E.Coli) Blank Qualifier,Bacteria (E.Coli),Bacteria (E.Coli) Code,Bacteria (E.Coli) Tier,Bacteria (E.Coli) Units,Bacteria (E.Coli) Problem,Bacteria (E.Coli) Qualifier,Bacteria Incubation Temperature,Bacteria Incubation Temperature Code,Bacteria Incubation Temperature Tier,Bacteria Incubation Temperature Units,Bacteria Incubation Temperature Problem,Bacteria Incubation Temperature Qualifier,Bacteria Incubation Time,Bacteria Incubation Time Code,Bacteria Incubation Time Tier,Bacteria Incubation Time Units,Bacteria Incubation Time Problem,Bacteria Incubation Time Qualifier,Chlorophyll a;b;c,Chlorophyll a;b;c Code,Chlorophyll a;b;c Tier,Chlorophyll a;b;c Units,Chlorophyll a;b;c Problem,Chlorophyll a;b;c Qualifier,Chlorophyll a,Chlorophyll a Code,Chlorophyll a Tier,Chlorophyll a Units,Chlorophyll a Problem,Chlorophyll a Qualifier,Conductivity,Conductivity Code,Conductivity Tier,Conductivity Units,Conductivity Problem,Conductivity Qualifier,Dissolved oxygen % Sat,Dissolved oxygen % Sat Code,Dissolved oxygen % Sat Tier,Dissolved oxygen % Sat Units,Dissolved oxygen % Sat Problem,Dissolved oxygen % Sat Qualifier,Dissolved oxygen,Dissolved oxygen Code,Dissolved oxygen Tier,Dissolved oxygen Units,Dissolved oxygen Problem,Dissolved oxygen Qualifier,Enterococcus Blank,Enterococcus Blank Code,Enterococcus Blank Tier,Enterococcus Blank Units,Enterococcus Blank Problem,Enterococcus Blank Qualifier,Enterococcus,Enterococcus Code,Enterococcus Tier,Enterococcus Units,Enterococcus Problem,Enterococcus Qualifier,Nitrate-nitrogen,Nitrate-nitrogen Code,Nitrate-nitrogen Tier,Nitrate-nitrogen Units,Nitrate-nitrogen Problem,Nitrate-nitrogen Qualifier,Nitrite,Nitrite Code,Nitrite Tier,Nitrite Units,Nitrite Problem,Nitrite Qualifier,Nitrite-nitrate,Nitrite-nitrate Code,Nitrite-nitrate Tier,Nitrite-nitrate Units,Nitrite-nitrate Problem,Nitrite-nitrate Qualifier,Orthophosphate,Orthophosphate Code,Orthophosphate Tier,Orthophosphate Units,Orthophosphate Problem,Orthophosphate Qualifier,pH,pH Code,pH Tier,pH Units,pH Problem,pH Qualifier,Salinity,Salinity Code,Salinity Tier,Salinity Units,Salinity Problem,Salinity Qualifier,Total Depth,Total Depth Code,Total Depth Tier,Total Depth Units,Total Depth Problem,Total Depth Qualifier,Total Dissolved Solids,Total Dissolved Solids Code,Total Dissolved Solids Tier,Total Dissolved Solids Units,Total Dissolved Solids Problem,Total Dissolved Solids Qualifier,Total Kjeldahl Nitrogen,Total Kjeldahl Nitrogen Code,Total Kjeldahl Nitrogen Tier,Total Kjeldahl Nitrogen Units,Total Kjeldahl Nitrogen Problem,Total Kjeldahl Nitrogen Qualifier,Total Nitrogen Blank,Total Nitrogen Blank Code,Total Nitrogen Blank Tier,Total Nitrogen Blank Units,Total Nitrogen Blank Problem,Total Nitrogen Blank Qualifier,Total Nitrogen,Total Nitrogen Code,Total Nitrogen Tier,Total Nitrogen Units,Total Nitrogen Problem,Total Nitrogen Qualifier,Total Phosphorus Blank,Total Phosphorus Blank Code,Total Phosphorus Blank Tier,Total Phosphorus Blank Units,Total Phosphorus Blank Problem,Total Phosphorus Blank Qualifier,Total Phosphorus,Total Phosphorus Code,Total Phosphorus Tier,Total Phosphorus Units,Total Phosphorus Problem,Total Phosphorus Qualifier,Total Suspended Solids,Total Suspended Solids Code,Total Suspended Solids Tier,Total Suspended Solids Units,Total Suspended Solids Problem,Total Suspended Solids Qualifier,Water Clarity,Water Clarity Code,Water Clarity Tier,Water Clarity Units,Water Clarity Problem,Water Clarity Qualifier,Water temperature,Water temperature Code,Water temperature Tier,Water temperature Units,Water temperature Problem,Water temperature Qualifier,Cloud Cover,Other Comments,Other Conditions,Rainfall Within 48 Hours,Rainfall,Sea State,Stream Flow,Tidal Stage,Water Color Description,Water Color,Water Odor Description,Water Odor,Water Surfaces,Weather Conditions Day Before Yesterday,Weather Conditions Today,Weather Conditions Yesterday,Wind Direction,Wind Speed,Comments
7/1/11,12:00:00,WBS,AWA.WBS,39.853353,-77.517319,Antietam Watershed Association,1,0.25,,,,,,,0,ALKY.3,p2,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9,DO.4,1,mg/L,,,,,,,,,,,,,,,0,NO3N.1,1,mg/L,,,,,,,,,,,,,,,0.03,OP.1,1,mg/L,,,4,PH.3,1,SU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,WC.5,1,JTU,,,13,WT.6,1,deg C,,,,,,,,,,,,,,,,,,,,,
8/15/11,12:00:00,MR,AWA.MR,39.741172,-77.491586,Antietam Watershed Association,1,0.25,,,,,,,0,ALKY.3,p2,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,DO.4,1,mg/L,,,,,,,,,,,,,,,0,NO3N.1,1,mg/L,,,,,,,,,,,,,,,0,OP.1,1,mg/L,,,5.5,PH.3,1,SU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,WC.5,1,JTU,,,16,WT.6,1,deg C,,,,,,,,,,,,,,,,,,,,,
8/15/11,12:00:00,RR2,AWA.RR2,39.741603,-77.491469,Antietam Watershed Association,1,0.25,,,,,,,0,ALKY.3,p2,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7,DO.4,1,mg/L,,,,,,,,,,,,,,,0.1,NO3N.1,1,mg/L,,,,,,,,,,,,,,,0,OP.1,1,mg/L,,,5.5,PH.3,1,SU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,WC.5,1,JTU,,,15.5,WT.6,1,deg C,,,,,,,,,,,,,,,,,,,,,
1/29/13,12:00:00,WBS,AWA.WBS,39.853353,-77.517319,Antietam Watershed Association,1,0.25,,,,,,,0,ALKY.3,p2,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9,DO.4,1,mg/L,,,,,,,,,,,,,,,0,NO3N.1,1,mg/L,,,,,,,,,,,,,,,0.135,OP.1,1,mg/L,,,4,PH.3,1,SU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,WC.5,1,JTU,,,6,WT.6,1,deg C,,,,,,,,,,,,,,,,,,,,,
6/17/13,12:00:00,WBS,AWA.WBS,39.853353,-77.517319,Antietam Watershed Association,1,0.25,,,,,,,0,ALKY.3,p2,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.85,DO.4,1,mg/L,,,,,,,,,,,,,,,0.02,NO3N.1,1,mg/L,,,,,,,,,,,,,,,0,OP.1,1,mg/L,,,4,PH.3,1,SU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,WC.5,1,JTU,,,13,WT.6,1,deg C,,,,,,,,,,,,,,,,,,,,,
12/3/12,12:00:00,BR,AWA.BR,39.75468,-77.505228,Antietam Watershed Association,1,0.25,,,,,,,2,ALKY.3,p2,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9,DO.4,1,mg/L,,,,,,,,,,,,,,,0.06,NO3N.1,1,mg/L,,,,,,,,,,,,,,,0.02,OP.1,1,mg/L,,,5,PH.3,1,SU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,WC.5,1,JTU,,,10.1,WT.6,1,deg C,,,,,,,,,,,,,,,,,,,,,
11/4/12,12:00:00,B,AWA.B,39.765053,-77.516044,Antietam Watershed Association,1,0.25,,,,,,,2.352,ALKY.3,p2,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,DO.4,1,mg/L,,,,,,,,,,,,,,,0,NO3N.1,1,mg/L,,,,,,,,,,,,,,,0.02,OP.1,1,mg/L,,,4.5,PH.3,1,SU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,WC.5,1,JTU,,,8.5,WT.6,1,deg C,,,,,,,,,,,,,,,,,,,,,
2/11/13,12:00:00,B,AWA.B,39.765053,-77.516044,Antietam Watershed Association,1,0.25,,,,,,,2.37,ALKY.3,p2,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.2,DO.4,1,mg/L,,,,,,,,,,,,,,,0.08,NO3N.1,1,mg/L,,,,,,,,,,,,,,,0.07,OP.1,1,mg/L,,,4.5,PH.3,1,SU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,WC.5,1,JTU,,,4,WT.6,1,deg C,,,,,,,,,,,,,,,,,,,,,
7/11/11,12:00:00,ATAS,AWA.ATAS,39.788233,-77.487814,Antietam Watershed Association,1,0.25,,,,,,,2.658,ALKY.3,p2,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,DO.4,1,mg/L,,,,,,,,,,,,,,,0.08,NO3N.1,1,mg/L,,,,,,,,,,,,,,,0.03,OP.1,1,mg/L,,,5.5,PH.3,1,SU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,WC.5,1,JTU,,,16.5,WT.6,1,deg C,,,,,,,,,,,,,,,,,,,,,
11/14/11,12:00:00,ATAS,AWA.ATAS,39.788233,-77.487814,Antietam Watershed Association,1,0.25,,,,,,,2.658,ALKY.3,p2,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9,DO.4,1,mg/L,,,,,,,,,,,,,,,0.03,NO3N.1,1,mg/L,,,,,,,,,,,,,,,0.03,OP.1,1,mg/L,,,5,PH.3,1,SU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,WC.5,1,JTU,,,5,WT.6,1,deg C,,,,,,,,,,,,,,,,,,,,,
